item_id,item_total_interactions,item_unique_users,item_purchase_count,item_conversion_rate,item_total_quantity_sold,item_total_revenue,item_avg_order_value,item_unique_buyers,item_avg_rating,item_view_count,item_click_count,item_cart_count,category,item_category_enc,brand,item_brand_enc,price,item_price_log,stock,item_stock_norm,review_count,item_review_count_log,popularity_score,item_popularity_score_norm,item_avg_sentiment,trend_score,item_trend_score_norm,item_return_rate,is_active
ITEM_0193,8,8,1,0.125,4,5010.12,5010.12,1,1.2,2,2,2,Electronics,3,BrandAlpha,0,1252.53,7.133718850299593,251,0.502,1051,6.9584483932976555,0.4844,0.4842200180342651,-0.0838,24.28,0.24254552731638987,0.283,True
ITEM_0268,14,13,3,0.21428571428571427,9,44417.159999999996,14805.72,3,4.9,5,6,3,Electronics,3,BrandAlpha,0,4935.24,8.504359186769483,445,0.89,431,6.068425588244111,0.6119,0.6119627291854524,0.9328,3.89,0.038523113868320996,0.097,True
ITEM_0370,12,11,5,0.4166666666666667,15,69409.79999999999,13881.959999999997,5,4.5,7,2,2,Electronics,3,BrandAlpha,0,4627.32,8.439949230262014,297,0.594,251,5.529429087511423,0.3354,0.33493637912032864,0.1823,90.39,0.9040424254552731,0.045,True
ITEM_0023,9,8,2,0.2222222222222222,8,13633.68,6816.84,2,4.2,4,2,1,Electronics,3,BrandAlpha,0,1704.21,7.441443549288591,40,0.08,1751,7.468513271496337,0.2196,0.21891594028654443,0.9684,22.94,0.22913748248949373,0.181,True
ITEM_0032,12,12,3,0.25,7,25544.96,8514.986666666666,3,4.5,6,4,2,Electronics,3,BrandAlpha,0,3649.28,8.202559155963064,15,0.03,1473,7.295735072749282,0.3194,0.31890592125037576,0.4929,64.03,0.6402841705023015,0.269,True
ITEM_0003,8,8,1,0.125,1,1378.5,1378.5,1,5.0,2,1,3,Electronics,3,BrandAlpha,0,1378.5,7.2294763936573405,215,0.43,1155,7.052721049232323,0.4965,0.496343051798417,0.9795,8.47,0.08435061036621976,0.074,True
ITEM_0285,13,13,2,0.15384615384615385,9,22002.57,11001.285,2,1.6,4,5,2,Electronics,3,BrandAlpha,0,2444.73,7.802098925853423,360,0.72,1603,7.38025578842646,0.2748,0.274221019937882,0.4705,79.98,0.7998799279567741,0.017,True
ITEM_0497,16,15,3,0.1875,9,18217.44,6072.48,3,1.2,6,6,2,Grocery,4,BrandAlpha,0,2024.16,7.613403988765008,409,0.818,1558,7.351799869057777,0.6278,0.6278929966937181,0.4225,55.8,0.557934760856514,0.014,True
ITEM_0254,4,4,7,1.75,18,41286.24,5898.034285714285,7,4.5,1,2,1,Grocery,4,BrandAlpha,0,2293.68,7.738348679221686,218,0.436,796,6.680854678790215,0.9328,0.9334735998396954,0.6055,89.66,0.8967380428256954,0.229,True
ITEM_0036,2,2,0,0.0,0,0.0,0.0,0,4.7,1,0,0,Grocery,4,BrandAlpha,0,2761.89,7.924032512332136,361,0.722,1740,7.462214939768189,0.0456,0.04458471095080654,-0.1992,89.42,0.8943366019611767,0.266,True
ITEM_0354,14,13,4,0.2857142857142857,10,5810.2,1452.55,4,4.9,3,9,0,Grocery,4,BrandAlpha,0,581.02,6.3665048114021685,126,0.252,919,6.824373670043086,0.335,0.3345356176735798,-0.765,90.72,0.9073444066439863,0.052,True
ITEM_0392,11,9,2,0.18181818181818182,5,15394.400000000001,7697.200000000001,2,2.7,3,4,3,Grocery,4,BrandAlpha,0,3078.88,8.032645914169658,461,0.922,1063,6.96979066990159,0.0198,0.018735597635507466,0.2912,64.86,0.6485891534920952,0.249,True
ITEM_0106,7,7,5,0.7142857142857143,13,41677.479999999996,8335.496,5,3.1,2,2,1,Grocery,4,BrandAlpha,0,3205.96,8.073078726899436,160,0.32,1667,7.419380582918692,0.3514,0.3509668369902815,-0.8323,52.2,0.5219131478887333,0.279,True
ITEM_0039,1,1,3,3.0,10,43083.59999999999,14361.199999999997,3,4.2,1,0,0,Grocery,4,BrandAlpha,0,4308.36,8.368544680192432,423,0.846,1129,7.029972911706386,0.0414,0.04037671575994389,-0.4043,79.44,0.7944766860116069,0.004,True
ITEM_0323,7,7,3,0.42857142857142855,7,28377.929999999997,9459.31,3,1.1,4,1,0,Home & Kitchen,5,BrandAlpha,0,4053.99,8.307703500455228,64,0.128,810,6.698268054115413,0.4082,0.4078749624286144,-0.1582,64.49,0.6448869321592955,0.236,True
ITEM_0274,9,9,0,0.0,0,0.0,0.0,0,3.1,3,5,1,Home & Kitchen,5,BrandAlpha,0,4694.02,8.454257651484195,368,0.736,1829,7.512071245835466,0.797,0.7974150886684701,-0.8182,30.12,0.30098058835301184,0.044,True
ITEM_0386,12,11,4,0.3333333333333333,13,19259.5,4814.875,4,1.4,5,5,0,Home & Kitchen,5,BrandAlpha,0,1481.5,7.301485130871881,33,0.066,587,6.376726947898627,0.4233,0.42300370704338247,-0.7793,8.74,0.0870522313388033,0.166,True
ITEM_0053,13,12,2,0.15384615384615385,6,8029.74,4014.87,2,3.2,3,5,3,Home & Kitchen,5,BrandAlpha,0,1338.29,7.199894901778178,377,0.754,1741,7.462789157412448,0.8573,0.8578298767658551,-0.5297,39.78,0.39763858314989,0.064,True
ITEM_0464,13,13,3,0.23076923076923078,11,17617.93,5872.643333333333,3,4.1,9,3,1,Home & Kitchen,5,BrandAlpha,0,1601.63,7.379401308749443,265,0.53,1061,6.967909201801884,0.068,0.06702735196874061,-0.6385,25.32,0.2529517710626376,0.025,True
ITEM_0172,6,6,6,1.0,15,42851.850000000006,7141.975000000001,6,4.9,4,1,1,Home & Kitchen,5,BrandAlpha,0,2856.79,7.9578038778335625,321,0.642,274,5.616771097666572,0.935,0.935677787796814,-0.4047,42.86,0.42845707424454677,0.098,True
ITEM_0030,7,7,3,0.42857142857142855,7,21140.07,7046.69,3,2.5,3,3,1,Home & Kitchen,5,BrandAlpha,0,3020.01,8.013346491543391,216,0.432,1083,6.988413181999592,0.6804,0.6805931269411882,-0.4152,75.59,0.755953572143286,0.208,True
ITEM_0124,8,8,2,0.25,7,18575.13,9287.565,2,4.1,4,1,1,Sports,6,BrandAlpha,0,2653.59,7.884045496139124,193,0.386,1840,7.518064181233078,0.6877,0.6879070233443543,-0.7128,55.34,0.5533319991995198,0.078,True
ITEM_0122,7,7,1,0.14285714285714285,4,10794.64,10794.64,1,3.5,5,2,0,Sports,6,BrandAlpha,0,2698.66,7.90088111813716,338,0.676,1630,7.396948602621014,0.4011,0.4007614467488228,0.5966,94.01,0.940264158495097,0.124,True
ITEM_0460,12,11,6,0.5,18,24774.12,4129.0199999999995,5,4.3,3,3,4,Sports,6,BrandAlpha,0,1376.34,7.22790938183076,15,0.03,626,6.440946540632921,0.0555,0.054503556757839904,0.0167,44.72,0.44706824094456676,0.1,True
ITEM_0255,7,6,1,0.14285714285714285,4,19965.12,19965.12,1,4.6,1,4,2,Sports,6,BrandAlpha,0,4991.28,8.515647998219883,209,0.418,960,6.8679744089702925,0.8949,0.8955014527602445,0.9224,99.34,0.9935961576946167,0.005,True
ITEM_0427,7,7,7,1.0,27,88596.45000000001,12656.635714285716,7,1.0,3,1,1,Sports,6,BrandAlpha,0,3281.35,8.096314908255437,166,0.332,719,6.579251212010101,0.9032,0.9038172527802826,0.7471,62.48,0.6247748649189514,0.255,True
ITEM_0148,10,10,4,0.4,13,47453.64,11863.41,4,1.1,5,5,0,Sports,6,BrandAlpha,0,3650.28,8.202833070032456,341,0.682,643,6.467698726104354,0.5247,0.5245967337942091,0.8576,23.8,0.23774264558735242,0.096,True
ITEM_0411,12,12,6,0.5,22,90028.62,15004.769999999999,6,2.4,6,4,1,Sports,6,BrandAlpha,0,4092.21,8.317084782285939,292,0.584,1215,7.103322062526113,0.8886,0.8891894599739505,-0.5033,66.14,0.6613968381028617,0.085,True
ITEM_0181,12,12,2,0.16666666666666666,4,14584.0,7292.0,2,1.0,5,4,1,Sports,6,BrandAlpha,0,3646.0,8.20166019080868,36,0.072,1317,7.183870715062453,0.5574,0.5573589820659253,0.324,35.55,0.35531318791274763,0.024,True
ITEM_0309,7,7,4,0.5714285714285714,14,55731.619999999995,13932.904999999999,4,1.7,4,1,1,Sports,6,BrandAlpha,0,3980.83,8.289496791598292,157,0.314,500,6.2166061010848646,0.9056,0.9062218214607755,0.8525,2.16,0.02121272763658195,0.229,True
ITEM_0404,10,10,3,0.3,8,36044.0,12014.666666666666,3,1.3,5,1,2,Toys,7,BrandAlpha,0,4505.5,8.413276077996464,249,0.498,105,4.663439094112067,0.3328,0.3323314297164613,-0.9534,69.31,0.693115869521713,0.237,True
ITEM_0011,9,9,2,0.2222222222222222,3,3290.6400000000003,1645.3200000000002,2,1.6,3,4,1,Toys,7,BrandAlpha,0,1096.88,7.001136326479444,277,0.554,946,6.853299093186078,0.5919,0.5919246568480112,-0.563,43.96,0.43946367820692417,0.072,True
ITEM_0050,10,10,2,0.2,6,10961.82,5480.91,2,1.4,4,3,1,Toys,7,BrandAlpha,0,1826.97,7.510961340500871,450,0.9,1061,6.967909201801884,0.9892,0.9899809638312794,0.8698,5.94,0.05903542125275166,0.089,True
ITEM_0454,6,6,2,0.3333333333333333,4,5197.6,2598.8,2,1.5,1,2,2,Toys,7,BrandAlpha,0,1299.4,7.17042718842975,248,0.496,511,6.238324625039508,0.2772,0.27662558861837494,-0.3625,17.93,0.1790074044426656,0.045,True
ITEM_0095,14,14,2,0.14285714285714285,3,966.78,483.39,2,1.2,6,4,2,Beauty,0,BrandBeta,1,322.26,5.778456952981663,459,0.918,386,5.958424693029782,0.017,0.015930267508265705,0.2301,71.25,0.7125275165099059,0.204,True
ITEM_0115,7,7,3,0.42857142857142855,7,31938.62,10646.206666666667,3,1.1,4,2,1,Beauty,0,BrandBeta,1,4562.66,8.425880212150906,2,0.004,635,6.455198563340122,0.672,0.6721771365594631,0.1203,58.92,0.5891534920952572,0.094,True
ITEM_0270,4,4,6,1.5,18,793.2600000000001,132.21,6,2.3,3,0,1,Beauty,0,BrandBeta,1,44.07,3.808216836702557,417,0.834,1395,7.241366283322318,0.1331,0.1322512774271115,-0.5961,28.95,0.2892735641384831,0.076,True
ITEM_0467,9,9,3,0.3333333333333333,6,6959.52,2319.84,3,2.4,2,6,0,Beauty,0,BrandBeta,1,1159.92,7.056968073208338,139,0.278,308,5.733341276897746,0.881,0.8815749924857229,0.5893,69.05,0.6905143085851511,0.079,True
ITEM_0062,8,7,2,0.25,5,16005.8,8002.9,2,2.0,4,2,2,Beauty,0,BrandBeta,1,3201.16,8.071580861077782,160,0.32,1772,7.480428306074208,0.6298,0.6298968039274622,-0.0909,36.47,0.36451871122673607,0.006,True
ITEM_0409,5,5,1,0.2,2,6331.82,6331.82,1,4.6,2,0,1,Beauty,0,BrandBeta,1,3165.91,8.060511628073582,168,0.336,1161,7.057897937411856,0.4245,0.4242059913836289,-0.4177,42.93,0.42915749449669804,0.265,True
ITEM_0058,5,5,4,0.8,17,61986.42,15496.605,4,2.0,2,1,1,Beauty,0,BrandBeta,1,3646.26,8.201731479740006,73,0.146,841,6.7357800142423265,0.06,0.05901212303376415,-0.6781,60.81,0.6080648389033421,0.198,True
ITEM_0210,8,8,4,0.5,15,73884.45,18471.1125,4,3.4,3,3,1,Books,1,BrandBeta,1,4925.63,8.502410463316536,346,0.692,649,6.476972362889683,0.3289,0.3284240056106603,0.4904,21.2,0.21172703622173306,0.145,True
ITEM_0042,5,5,3,0.6,7,1636.9499999999998,545.65,3,4.8,1,3,1,Books,1,BrandBeta,1,233.85,5.458947012473004,499,0.998,511,6.238324625039508,0.7573,0.7576395150786495,0.5146,48.83,0.4881929157494497,0.183,True
ITEM_0436,9,9,3,0.3333333333333333,8,2046.32,682.1066666666667,3,2.2,5,1,1,Books,1,BrandBeta,1,255.79,5.5482586302476244,243,0.486,774,6.652863029353347,0.1659,0.16511371606051498,-0.0256,93.68,0.9369621773063839,0.047,True
ITEM_0487,9,9,5,0.5555555555555556,12,25171.08,5034.216,5,4.6,4,1,3,Books,1,BrandBeta,1,2097.59,7.649020969630975,402,0.804,272,5.60947179518496,0.6103,0.610359683398457,0.9569,70.79,0.7079247548529117,0.02,True
ITEM_0301,13,13,4,0.3076923076923077,9,40672.98,10168.245,4,4.2,5,4,3,Books,1,BrandBeta,1,4519.22,8.416315944208177,439,0.878,1455,7.283448228756631,0.2993,0.2987676585512474,-0.6565,33.84,0.3382029217530519,0.056,True
ITEM_0287,8,7,3,0.375,12,50765.28,16921.76,3,2.3,2,2,2,Clothing,2,BrandBeta,1,4230.44,8.350297639640614,320,0.64,785,6.666956792429207,0.4584,0.4581705239955916,0.8679,21.55,0.2152291374824895,0.272,True
ITEM_0360,7,7,1,0.14285714285714285,4,8700.84,8700.84,1,3.6,4,3,0,Clothing,2,BrandBeta,1,2175.21,7.685340110672239,39,0.078,1813,7.503289630675082,0.3219,0.3214106802925559,-0.9363,64.8,0.6479887932759655,0.096,True
ITEM_0061,9,9,1,0.1111111111111111,4,19786.72,19786.72,1,1.6,1,3,2,Clothing,2,BrandBeta,1,4946.68,8.506674058826029,241,0.482,1908,7.554334823725748,0.2714,0.270814547640517,0.2754,67.8,0.6780068040824494,0.099,True
ITEM_0289,9,9,7,0.7777777777777778,21,44527.14,6361.0199999999995,7,3.9,4,4,1,Clothing,2,BrandBeta,1,2120.34,7.659803243462191,351,0.702,249,5.521460917862246,0.3921,0.39174431419697425,0.7922,23.75,0.23724234540724437,0.039,True
ITEM_0479,8,8,2,0.25,6,25701.12,12850.56,2,2.7,4,3,1,Clothing,2,BrandBeta,1,4283.52,8.362763806087543,264,0.528,55,4.02535169073515,0.3561,0.3556757839895802,0.6261,77.15,0.7715629377626576,0.054,True
ITEM_0250,9,9,3,0.3333333333333333,11,16535.09,5511.696666666667,3,2.0,4,2,1,Clothing,2,BrandBeta,1,1503.19,7.3160098263180835,315,0.63,318,5.765191102784844,0.3813,0.380923755134756,0.0147,4.36,0.043225935561336803,0.223,True
ITEM_0043,12,12,2,0.16666666666666666,9,10288.08,5144.04,2,2.9,7,3,2,Clothing,2,BrandBeta,1,1143.12,7.0423910615435314,424,0.848,131,4.882801922586371,0.9704,0.9711451758340848,-0.856,39.48,0.3946367820692415,0.076,True
ITEM_0208,13,13,6,0.46153846153846156,19,5658.7699999999995,943.1283333333332,6,3.5,4,4,4,Clothing,2,BrandBeta,1,297.83,5.699874849825184,239,0.478,1857,7.527255919373784,0.585,0.585011521891594,0.2709,97.58,0.9759855913548128,0.086,True
ITEM_0259,11,11,5,0.45454545454545453,13,17282.33,3456.4660000000003,5,2.8,3,2,2,Clothing,2,BrandBeta,1,1329.41,7.193242444386849,47,0.094,1207,7.0967213784947605,0.3345,0.3340346658651438,0.9,40.18,0.4016409845907545,0.111,True
ITEM_0152,9,8,4,0.4444444444444444,11,35755.39,8938.8475,4,2.5,3,5,0,Electronics,3,BrandBeta,1,3250.49,8.086868631800863,205,0.41,550,6.311734809152915,0.1951,0.19436930167317903,0.0762,54.62,0.5461276766059636,0.26,True
ITEM_0029,8,8,2,0.25,6,25424.340000000004,12712.170000000002,2,4.2,1,4,0,Electronics,3,BrandBeta,1,4237.39,8.351938759134123,397,0.794,510,6.236369590203704,0.5625,0.5624686905119728,0.6272,63.12,0.6311787072243346,0.257,True
ITEM_0214,9,9,3,0.3333333333333333,11,23292.5,7764.166666666667,3,1.7,0,5,2,Electronics,3,BrandBeta,1,2117.5,7.658463570066614,196,0.392,538,6.289715570908998,0.1782,0.17743713054804128,0.049,10.32,0.10286171703021814,0.074,True
ITEM_0009,19,19,1,0.05263157894736842,5,10560.4,10560.4,1,3.2,4,6,6,Electronics,3,BrandBeta,1,2112.08,7.655901877760687,50,0.1,184,5.220355825078325,0.3513,0.35086664662859435,-0.7377,40.15,0.4013408044826896,0.199,True
ITEM_0147,8,8,7,0.875,19,51266.560000000005,7323.794285714286,7,3.4,3,3,1,Electronics,3,BrandBeta,1,2698.24,7.900725530887591,293,0.586,948,6.855408798609928,0.1267,0.12583909427913037,-0.1681,31.9,0.3187912747648589,0.29,True
ITEM_0047,10,10,3,0.3,9,4584.6,1528.2,3,1.2,6,3,1,Electronics,3,BrandBeta,1,509.4,6.23519473203058,213,0.426,670,6.508769136971682,0.701,0.7012323414487526,-0.9501,24.8,0.24774864918951373,0.27,True
ITEM_0234,6,6,3,0.5,9,30393.09,10131.03,3,4.9,3,0,2,Electronics,3,BrandBeta,1,3377.01,8.125042057694921,294,0.588,844,6.739336627357174,0.5202,0.5200881675182848,0.3796,34.86,0.34840904542725637,0.033,True
ITEM_0243,11,11,0,0.0,0,0.0,0.0,0,4.3,4,4,1,Grocery,4,BrandBeta,1,2615.78,7.869699833272313,424,0.848,1661,7.415776975415394,0.3879,0.38753631900611163,0.6608,27.38,0.27356413848308986,0.084,True
ITEM_0447,7,7,1,0.14285714285714285,4,14388.2,14388.2,1,3.8,3,1,1,Grocery,4,BrandBeta,1,3597.05,8.18814731102315,279,0.558,1750,7.467942332285852,0.1198,0.11892595932271316,-0.485,60.72,0.6071642985791476,0.299,True
ITEM_0065,8,8,4,0.5,15,63213.0,15803.25,4,3.1,4,1,2,Grocery,4,BrandBeta,1,4214.2,8.346452318895077,52,0.104,876,6.776506992372183,0.9317,0.9323715058611362,0.9543,83.35,0.8336001600960575,0.246,True
ITEM_0161,20,20,3,0.15,12,4314.4800000000005,1438.16,3,1.4,7,5,2,Grocery,4,BrandBeta,1,359.54,5.887602907573892,80,0.16,812,6.70073110954781,0.8215,0.8219617272818355,-0.6906,55.86,0.5585351210726436,0.1,True
ITEM_0320,11,10,2,0.18181818181818182,8,37190.64,18595.32,2,1.4,4,3,2,Grocery,4,BrandBeta,1,4648.83,8.444585938773315,13,0.026,823,6.714170529909472,0.6351,0.635206893096884,0.4136,89.23,0.8924354612767661,0.239,True
ITEM_0007,10,10,3,0.3,11,49065.94,16355.313333333334,3,1.9,6,3,0,Grocery,4,BrandBeta,1,4460.54,8.403249276894547,100,0.2,1740,7.462214939768189,0.6988,0.699028153491634,0.0714,96.87,0.9688813287972784,0.078,True
ITEM_0195,11,11,1,0.09090909090909091,3,6653.97,6653.97,1,4.3,4,6,0,Grocery,4,BrandBeta,1,2217.99,7.704807416387965,222,0.444,399,5.991464547107982,0.9447,0.9453962528804729,-0.811,78.44,0.7844706824094456,0.011,True
ITEM_0074,12,12,2,0.16666666666666666,8,12612.0,6306.0,2,4.3,3,5,3,Grocery,4,BrandBeta,1,1576.5,7.363596594415368,251,0.502,78,4.3694478524670215,0.0807,0.07975152790301572,-0.0578,81.86,0.8186912147288372,0.061,True
ITEM_0258,6,5,2,0.3333333333333333,5,5347.45,2673.725,2,1.1,4,0,1,Grocery,4,BrandBeta,1,1069.49,6.9758717665568675,3,0.006,120,4.795790545596741,0.752,0.7523294259092276,-0.1623,79.47,0.7947768661196718,0.068,True
ITEM_0084,7,7,2,0.2857142857142857,6,26932.38,13466.19,2,2.7,4,1,2,Grocery,4,BrandBeta,1,4488.73,8.409547845297912,141,0.282,461,6.135564891081739,0.9992,1.0,0.8006,97.42,0.974384630778467,0.039,True
ITEM_0272,9,9,2,0.2222222222222222,6,9000.6,4500.3,2,2.7,4,2,2,Grocery,4,BrandBeta,1,1500.1,7.31395345166613,453,0.906,1931,7.566311014772463,0.0372,0.036168720569081256,-0.1408,56.37,0.5636381829097459,0.222,True
ITEM_0481,5,5,2,0.4,4,7618.48,3809.24,2,3.3,2,1,1,Home & Kitchen,5,BrandBeta,1,1904.62,7.5525626939279915,494,0.988,689,6.536691597591305,0.3698,0.3694018635407274,-0.4964,67.42,0.6742045227136282,0.004,True
ITEM_0092,5,5,2,0.4,8,25107.76,12553.88,2,4.1,1,2,1,Home & Kitchen,5,BrandBeta,1,3138.47,8.051809274846779,260,0.52,1109,7.01211529430638,0.2211,0.22041879571185252,0.6593,37.39,0.37372423454072445,0.188,True
ITEM_0189,7,7,3,0.42857142857142855,9,8594.1,2864.7000000000003,3,3.0,2,5,0,Home & Kitchen,5,BrandBeta,1,954.9,6.862653305069717,26,0.052,757,6.630683385642372,0.4835,0.4833183047790803,-0.9257,13.54,0.1350810486291775,0.035,True
ITEM_0322,14,12,6,0.42857142857142855,19,92723.23,15453.871666666666,6,4.5,6,6,1,Home & Kitchen,5,BrandBeta,1,4880.17,8.493140224209133,18,0.036,743,6.612041034833092,0.4105,0.4101793407474201,0.3067,97.85,0.9786872123273963,0.127,True
ITEM_0357,7,7,4,0.5714285714285714,13,62554.7,15638.675,4,4.9,1,2,1,Home & Kitchen,5,BrandBeta,1,4811.9,8.47905509202514,338,0.676,888,6.790097235513905,0.9635,0.9642320408776676,-0.9792,25.48,0.2545527316389834,0.262,True
ITEM_0137,4,4,0,0.0,0,0.0,0.0,0,1.4,3,1,0,Home & Kitchen,5,BrandBeta,1,350.65,5.862636362754027,224,0.448,856,6.75343791859778,0.577,0.5769962929566176,0.6387,23.53,0.2350410246147689,0.156,True
ITEM_0421,12,12,5,0.4166666666666667,14,29046.08,5809.216,5,2.9,4,6,2,Home & Kitchen,5,BrandBeta,1,2074.72,7.638063360430209,395,0.79,152,5.030437921392435,0.3987,0.39835687806832987,-0.8502,95.86,0.9587752651590954,0.038,True
ITEM_0295,9,8,1,0.1111111111111111,1,3706.71,3706.71,1,1.1,4,3,1,Sports,6,BrandBeta,1,3706.71,8.218169714350003,320,0.64,1190,7.0825485693553,0.5025,0.5023544734996493,-0.8719,43.22,0.4320592355413248,0.048,True
ITEM_0134,12,11,2,0.16666666666666666,6,28404.42,14202.21,2,4.0,4,2,0,Sports,6,BrandBeta,1,4734.07,8.46275178903783,216,0.432,849,6.745236349484362,0.1066,0.105700831580002,-0.4759,10.32,0.10286171703021814,0.197,True
ITEM_0221,6,6,4,0.6666666666666666,7,33899.11,8474.7775,4,3.9,3,2,0,Sports,6,BrandBeta,1,4842.73,8.485440364060874,27,0.054,480,6.175867270105761,0.4703,0.4700931770363691,0.9976,20.55,0.20522313388032823,0.092,True
